x	y	label	showSelected1
-1	8.5	Iter: 0  x=2.5  loss=4.3322	0
-1	8.5	Iter: 1  x=1.8865  loss=2.3783	1
-1	8.5	Iter: 2  x=1.8321  loss=2.3583	2
-1	8.5	Iter: 3  x=1.8123  loss=2.3555	3
-1	8.5	Iter: 4  x=1.8041  loss=2.3551	4
-1	8.5	Iter: 5  x=1.8005  loss=2.355	5
-1	8.5	Iter: 6  x=1.7989  loss=2.3549	6
-1	8.5	Iter: 7  x=1.7982  loss=2.3549	7
-1	8.5	Iter: 8  x=1.7979  loss=2.3549	8
-1	8.5	Iter: 9  x=1.7978  loss=2.3549	9
-1	8.5	Iter: 10  x=1.7977  loss=2.3549	10
-1	8.5	Iter: 11  x=1.7977  loss=2.3549	11
-1	8.5	Iter: 12  x=1.7977  loss=2.3549	12
-1	8.5	Iter: 13  x=1.7977  loss=2.3549	13
-1	8.5	Iter: 14  x=1.7977  loss=2.3549	14
-1	8.5	Iter: 15  x=1.7977  loss=2.3549	15
-1	8.5	Iter: 16  x=1.7977  loss=2.3549	16
-1	8.5	Iter: 17  x=1.7977  loss=2.3549	17
-1	8.5	Iter: 18  x=1.7977  loss=2.3549	18
-1	8.5	Iter: 19  x=1.7977  loss=2.3549	19
-1	8.5	Iter: 20  x=1.7977  loss=2.3549	20
