x	y	label	showSelected1
10	0.602059991327962	"Iteration: 0
loss = 4.3322"	0
10	0.602059991327962	"Iteration: 1
loss = 2.3783"	1
10	0.602059991327962	"Iteration: 2
loss = 2.3583"	2
10	0.602059991327962	"Iteration: 3
loss = 2.3555"	3
10	0.602059991327962	"Iteration: 4
loss = 2.3551"	4
10	0.602059991327962	"Iteration: 5
loss = 2.355"	5
10	0.602059991327962	"Iteration: 6
loss = 2.3549"	6
10	0.602059991327962	"Iteration: 7
loss = 2.3549"	7
10	0.602059991327962	"Iteration: 8
loss = 2.3549"	8
10	0.602059991327962	"Iteration: 9
loss = 2.3549"	9
10	0.602059991327962	"Iteration: 10
loss = 2.3549"	10
10	0.602059991327962	"Iteration: 11
loss = 2.3549"	11
10	0.602059991327962	"Iteration: 12
loss = 2.3549"	12
10	0.602059991327962	"Iteration: 13
loss = 2.3549"	13
10	0.602059991327962	"Iteration: 14
loss = 2.3549"	14
10	0.602059991327962	"Iteration: 15
loss = 2.3549"	15
10	0.602059991327962	"Iteration: 16
loss = 2.3549"	16
10	0.602059991327962	"Iteration: 17
loss = 2.3549"	17
10	0.602059991327962	"Iteration: 18
loss = 2.3549"	18
10	0.602059991327962	"Iteration: 19
loss = 2.3549"	19
10	0.602059991327962	"Iteration: 20
loss = 2.3549"	20
