x	y	label	showSelected1
8	0.602059991327962	Iter: 0  loss=4.3322	0
8	0.602059991327962	Iter: 1  loss=2.3783	1
8	0.602059991327962	Iter: 2  loss=2.3583	2
8	0.602059991327962	Iter: 3  loss=2.3555	3
8	0.602059991327962	Iter: 4  loss=2.3551	4
8	0.602059991327962	Iter: 5  loss=2.355	5
8	0.602059991327962	Iter: 6  loss=2.3549	6
8	0.602059991327962	Iter: 7  loss=2.3549	7
8	0.602059991327962	Iter: 8  loss=2.3549	8
8	0.602059991327962	Iter: 9  loss=2.3549	9
8	0.602059991327962	Iter: 10  loss=2.3549	10
8	0.602059991327962	Iter: 11  loss=2.3549	11
8	0.602059991327962	Iter: 12  loss=2.3549	12
8	0.602059991327962	Iter: 13  loss=2.3549	13
8	0.602059991327962	Iter: 14  loss=2.3549	14
8	0.602059991327962	Iter: 15  loss=2.3549	15
8	0.602059991327962	Iter: 16  loss=2.3549	16
8	0.602059991327962	Iter: 17  loss=2.3549	17
8	0.602059991327962	Iter: 18  loss=2.3549	18
8	0.602059991327962	Iter: 19  loss=2.3549	19
8	0.602059991327962	Iter: 20  loss=2.3549	20
