x	y	showSelected1
0	6.13464874185291	0
1	0.544445821997068	1
2	0.198060556581365	2
3	0.082102606223236	3
4	0.0356571448499965	4
5	0.0157854338132886	5
6	0.00704640746450114	6
7	0.00315697313326968	7
8	0.00141672040357488	8
9	0.000636231947633181	9
10	0.000285817957291101	10
11	0.00012841851289247	11
12	5.77024895807021e-05	12
13	2.59283213792649e-05	13
14	1.16509157828126e-05	14
15	5.23538153052172e-06	15
16	2.35254415592578e-06	16
17	1.05712844344907e-06	17
18	4.75026644242149e-07	18
19	2.13455960906828e-07	19
20	9.59176764681047e-08	20
