x	y	label	showSelected1
10	5	"Iteration: 0
|Gradient| = 6.1346"	0
10	5	"Iteration: 1
|Gradient| = 0.5444"	1
10	5	"Iteration: 2
|Gradient| = 0.1981"	2
10	5	"Iteration: 3
|Gradient| = 0.0821"	3
10	5	"Iteration: 4
|Gradient| = 0.0357"	4
10	5	"Iteration: 5
|Gradient| = 0.0158"	5
10	5	"Iteration: 6
|Gradient| = 0.007"	6
10	5	"Iteration: 7
|Gradient| = 0.0032"	7
10	5	"Iteration: 8
|Gradient| = 0.0014"	8
10	5	"Iteration: 9
|Gradient| = 6e-04"	9
10	5	"Iteration: 10
|Gradient| = 3e-04"	10
10	5	"Iteration: 11
|Gradient| = 1e-04"	11
10	5	"Iteration: 12
|Gradient| = 1e-04"	12
10	5	"Iteration: 13
|Gradient| = 0"	13
10	5	"Iteration: 14
|Gradient| = 0"	14
10	5	"Iteration: 15
|Gradient| = 0"	15
10	5	"Iteration: 16
|Gradient| = 0"	16
10	5	"Iteration: 17
|Gradient| = 0"	17
10	5	"Iteration: 18
|Gradient| = 0"	18
10	5	"Iteration: 19
|Gradient| = 0"	19
10	5	"Iteration: 20
|Gradient| = 0"	20
