x	y	label	showSelected1
7	6.5	Iter: 0  |grad|= 6.1346	0
7	6.5	Iter: 1  |grad|= 0.5444	1
7	6.5	Iter: 2  |grad|= 0.1981	2
7	6.5	Iter: 3  |grad|= 0.0821	3
7	6.5	Iter: 4  |grad|= 0.0357	4
7	6.5	Iter: 5  |grad|= 0.0158	5
7	6.5	Iter: 6  |grad|= 0.007	6
7	6.5	Iter: 7  |grad|= 0.0032	7
7	6.5	Iter: 8  |grad|= 0.0014	8
7	6.5	Iter: 9  |grad|= 6e-04	9
7	6.5	Iter: 10  |grad|= 3e-04	10
7	6.5	Iter: 11  |grad|= 1e-04	11
7	6.5	Iter: 12  |grad|= 1e-04	12
7	6.5	Iter: 13  |grad|= 0	13
7	6.5	Iter: 14  |grad|= 0	14
7	6.5	Iter: 15  |grad|= 0	15
7	6.5	Iter: 16  |grad|= 0	16
7	6.5	Iter: 17  |grad|= 0	17
7	6.5	Iter: 18  |grad|= 0	18
7	6.5	Iter: 19  |grad|= 0	19
7	6.5	Iter: 20  |grad|= 0	20
